"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"HUN","Hungary","T","Total","TOTAL","Total","2022","2022",9736243,,
"HUN","Hungary","T","Total","TOTAL","Total","2023","2023",9721067,,
"HUN","Hungary","T","Total","TOTAL","Total","2024","2024",9705281,,
"HUN","Hungary","T","Total","TOTAL","Total","2025","2025",9689462,,
"HUN","Hungary","T","Total","TOTAL","Total","2026","2026",9674012,,
"HUN","Hungary","T","Total","TOTAL","Total","2027","2027",9658583,,
"HUN","Hungary","T","Total","TOTAL","Total","2028","2028",9642974,,
"HUN","Hungary","T","Total","TOTAL","Total","2029","2029",9627063,,
"HUN","Hungary","T","Total","TOTAL","Total","2030","2030",9610780,,
"ISL","Iceland","W","Women","TOTAL","Total","2021","2021",180428,,
"ISL","Iceland","W","Women","TOTAL","Total","2022","2022",183418,,
"ISL","Iceland","W","Women","TOTAL","Total","2023","2023",186724,,
"ISL","Iceland","W","Women","TOTAL","Total","2024","2024",190032,,
"ISL","Iceland","W","Women","TOTAL","Total","2025","2025",193056,,
"ISL","Iceland","W","Women","TOTAL","Total","2026","2026",195182,,
"ISL","Iceland","W","Women","TOTAL","Total","2027","2027",196187,,
"ISL","Iceland","W","Women","TOTAL","Total","2028","2028",196866,,
"ISL","Iceland","W","Women","TOTAL","Total","2029","2029",197776,,
"ISL","Iceland","W","Women","TOTAL","Total","2030","2030",198772,,
"ISL","Iceland","M","Men","TOTAL","Total","2021","2021",190135,,
"ISL","Iceland","M","Men","TOTAL","Total","2022","2022",193543,,
"ISL","Iceland","M","Men","TOTAL","Total","2023","2023",197480,,
"ISL","Iceland","M","Men","TOTAL","Total","2024","2024",201649,,
"ISL","Iceland","M","Men","TOTAL","Total","2025","2025",204583,,
"ISL","Iceland","M","Men","TOTAL","Total","2026","2026",205754,,
"ISL","Iceland","M","Men","TOTAL","Total","2027","2027",206119,,
"ISL","Iceland","M","Men","TOTAL","Total","2028","2028",206305,,
"ISL","Iceland","M","Men","TOTAL","Total","2029","2029",206814,,
"ISL","Iceland","M","Men","TOTAL","Total","2030","2030",207447,,
"ISL","Iceland","T","Total","TOTAL","Total","2021","2021",370563,,
"ISL","Iceland","T","Total","TOTAL","Total","2022","2022",376961,,
"ISL","Iceland","T","Total","TOTAL","Total","2023","2023",384204,,
"ISL","Iceland","T","Total","TOTAL","Total","2024","2024",391681,,
"ISL","Iceland","T","Total","TOTAL","Total","2025","2025",397639,,
"ISL","Iceland","T","Total","TOTAL","Total","2026","2026",400936,,
